Name/Abbreviation,Period,Subject(s),Team or Person,Name(Whole),Media(Preview),Official Website,Money Required?,Money per person (RMB),Person created/edit
HOSA,"Nov 1, 2020 → Jul 20, 2021","Anatomy and Physiology, Behavioral Health, Biochemistry, Biology, Biomedical Lab Science, CPR/First Aid, Chemistry, Engineering, Epidemiology, Nutrition, Pathophysiology, Physics, Science",Both,,"Information%20of%20Competition%2078cf8b2307db4c1e91295f1c2a9fabe3/HOSA2021.pdf, Information%20of%20Competition%2078cf8b2307db4c1e91295f1c2a9fabe3/HOSA_2021_--200918_109.pdf, Information%20of%20Competition%2078cf8b2307db4c1e91295f1c2a9fabe3/HOSA_2021_.pdf",https://www.webloom.cn/bloom_web/#/EventPlaza/home?activityId=1122964878089830400,Yes,,Skyler Hu
USACO,"Dec 18, 2020 → Apr 5, 2021",Coding,Person,USA Computing Olympiad,Information%20of%20Competition%2078cf8b2307db4c1e91295f1c2a9fabe3/usaco_logo.png,http://www.usaco.org/,No,,Coco Gao
NHSDLC 2021 Spring,"Mar 20, 2021 → Jun 13, 2021","Debate, Research, Social Studies",Team,National High School Debate League of China 2021 Spring Tournament,,www.nhsdlc.cn,Yes,650,Leon Lu
CCC,,"Chemistry, Science",,Canadian Chemistry Contest,,,,,Ashley Shi
UKChO,,"Chemistry, Science",,UK Chemistry Olympiad,,,,,Ashley Shi
USNCO,,"Chemistry, Science",,US National Chemistry Olympiad,,,,,Amily Xia
Technovation Girls,,"Business, Coding, Research, Social Studies",,,,,,,Amily Xia
ACSL,,Coding,Person,American Computer Science League,,https://www.acsl.org/,,,Coco Gao
AMC,,Math,,American Mathematics Competition,,,,,Coco Gao
AIME(Round 2 of AMC),,Math,,,,,,,Coco Gao
USABO,,"Biology, Science",,,,,,,Lois Xie
Physics Bowl,,"Physics, Science",,AAPT Physics Bowl,,,,,Skyler Hu
FBLA,,Business,,,,,,,Anna Du
CTB,,"Research, Social Studies",,China Thinks Big,,,,,Anna Du
CCC,,Coding,,Canadian Computing Competition,,,,,Nia Dai
ARML,,Math,,,,,,,Nia Dai
CEMC,,Math,,,,,,,Nia Dai
FTC,,"Coding, Engineering",,FIRST Tech Challenge,,,,,Jamie Liu
IEO,,"Business, Economics",,International Economics Olympaid,,,,,Kelly Jia
NEC,,Economics,,,,,,,Kelly Jia
BPhO,,"Physics, Science",,,,,,,Leon Lu
NADL,,"Debate, Research, Social Studies",,,,,,,Leon Lu
SIN,,Physics,,,,,,,Leon Lu
USAD,,,,,,,,,
丘成桐,,,,,,,,,
,,,,,,,,,
IOL,,Linguistics,,,,,,,Leon Lu
,,,,,,,,,
Template of Contest Info,,,,,,,,,